a; Blanco
b;Yeah, I'm into finer things, I'm into buying things
b;And I don't mean just to so I can say that I'm a Cali king
c;I got my ? on, Nike's on, feeling like I'm right at home
c;Colder than the ice up in my styrofoam
c;I know the feds want my iPhone
c;But I'mma grind untill they throw me and that iron hole
c;And when I get out I'mma get it tenfold
d;And when I get it I'mma kick it in the door
e;And everything life has to offer
f;But life is cheap so it'll cost you
g;I got some skeletons in my closet
h;Some motherfuckers tried to rob me now they in a ?
i;That's a message if you're plotting
j;Conscious, ? my revolver
j;I got some hungry ass lawyers
k;The type it take to build a case and beat the shit for you

l; Styles P
m;Smoking in the Bay so Jackie give me the K
m;Funny thing, I was a jacker back in the day
n;Run up in the spot with the trey pound
n;Everybody lay down
n;We got it cheap, 20 for the K now
o;I don't give a damn if your man wrong
o;Told you that if your mans strong
p;Eating roasted crab out in ?
q;Try to open your eyes in a sandstorm
r;That's like seeing ghost, loading guns and ? coke
r;I'll shoot you and take your herb cause I need to smoke
r;I'm a gangster 'til I die cause I took the oath
r;Tell Blanco, homie, go on the console
r;Roll the cookies up, show them niggas how the dons roll
s;Drinking ? 'till your minds blown
s;Spending money, having fun, so the time's flown
t;If you ain't got no money get your grind on
t;And I don't need diamonds to keep the shine on

u; Freddie Gibbs
v;As I get blowed smoking Keisha Cole
v;Unravel that pack of weight, twist 'em like a pita roll
w;Dope prices for me to know, for you to buy
x;I supply 'em, distrubute
x;Bills to the sky, gotta get this loot
x;Summertime ride, gotta get that coupe
x;? brew
y;Skimask on ?
z;Came for the money and the ice, if you play with you life
aa;Motherfucker, you could lose that too
aa;Yeah, nigga you could lose that shoe
aa;Got a clean '82 all blue
ab;And I put it on bold
aa;The hustling and the pimping hoes, man, that's all I do
ac;All I want is dope and weed
ac;Shoot my niggas out to Vegas, let's go blow some cheese
ad;Hoes gone play that hokey pokey up that sour dough
ad;We past ? AM, they dusting cocaine up their nose
ae;My nigga, all I ever wanted was some dope and weed
ae;I'mma sold my strip up, pick a bad bitch up and go blow some cheese
af;She pop up that pussy as I sit back and smoking platinum kush
ag;That's how I play it, it's amazing where this game she took it

