
a;And she said
b;You a God damn lie
b;I ain't mean to say that shit girl I was God damn high
b;So we left the crib now we in the God damn ride
b;She lookin' God damn fine
c;I wanted a bitch who was down to Earth
b;But she want the God damn skies
d;List of my problems
e;Got this one on my line that won't stop fucking callin'
f;It's crazy I made her that way
f;Every time I see her out, I see the hate in her face
g;Like why you do that
f;Tell her you love her when next week you just want your space
g;Why you do why you do that
h;Tell her you want her but next week you do your own thing
g;Why you do why you do that
i;I can't explain it but just know it working for me
j;She text me I hate you I hate you I hate you I hate you
i;But how the fuck can you hate me

k;When I ain't did shit, but be the real thing
l;She know I'm the real, that'll never change
m;I never been the one, to try to explain
n;While you catch them feels imma sip on this drank
m;It's easing my brain

o;I got real shit to stress about girl I ain't worried bout shit
o;Remember that I tried to build ya now I ain't worried bout shit
o;I got real shit to stress about girl I ain't worried bout shit
o;Remember that I tried to build ya now I ain't worried bout shit
p;So I found me a new thing I'm not as lost as you think
p;Got plenty queens in my hometown all they need is drank and that dank
p;So I found me a new thing I'm not as lost as you think
p;Got plenty queens in my hometown all they need is drank and that dank

q;Now I'm like
r;It's a God damn shame
s;We done crashed we done burned
r;But baby you the God damn blame
r;See I wanted love but you wanted God damn fame
t;Every God damn thing
u;I wanted a bitch who was on the move
v;But you want to God damn lay
w;List of my problems
x;Got this one in my bed and she just wants to sleep
x;Fucking up all of the sheets
x;She only wake up to eat
x;Do this shit every week
y;Like why you do that
z;Crying you want to be great, but sleepin' until the next day
y;Why you do that
z;Don't got that much in the bank, we go out she order the steak
y;Why you do why you do that
aa;She can't explain it but just know it working for her
ab;She claiming she down on her luck, but really she don't give a fuck
ac;And I cannot make this shit up

ad;And I ain't did shit, but be the real thing
ae;She know I'm the real, that'll never change
af;I won't be the one, to try to explain
ag;While you catch them feels imma sip on this drank
af;It's easing the pain

ah;I got real shit to stress about girl I ain't worried bout shit
ah;Remember that I tried to build ya now I ain't worried bout shit
ah;I got real shit to stress about girl I ain't worried bout shit
ah;Remember that I tried to build ya now I ain't worried bout shit
ai;So I found me a new thing I'm not as lost as you think
ai;Got plenty queens in my hometown all they need is drank and that dank
ai;So I found me a new thing I'm not as lost as you think
ai;Got plenty queens in my hometown all they need is drank and that dank

