
a;Uh, Uh
b;Y'all know what this is, So So Def

c;You're the heart of me
c;Baby, pardon me
d;It's just the effect you have. I don't quite understand myself but
d;I ain't worried about it
d;No I ain't worried about it
e;I just wanted to put it on your mind. I think that you're one of a kind
e;And I know it cause I ...

f;I done had others in me life that I like but
g;I ain't feel it like I'm feeling you
g;Every time we talk, every time we touch, I get a rush cause I can tell you're
h;really feeling me too and it's real, it's real
i;I think I found somebody who really cares
j;Who cares, Who gave me everything in my life
k;I wanna share the ways I never thought cause I'm really, really feeling you

l;You really got a way that I just can't deny
m;And even of I tried to fake it
m;I know I'll never shake it
m;You got a kiss that make me flip it
m;Now I never trade it
n;24/7, three sixty-five
o;Forever and ever I need ya. I never knew never would find a nigga better
p;Oh, I've been meaning to tell you

q;It's the way you look that's so irresistible
q;And it's the way you touch me that's so incredible
r;There's no other, you are my lover from beginning to end, I'll say it again
s;Forever and ever I need you. I never knew, never would find a nigga better
t;Oh, I've been meaning to tell you

u;Now baby you know how hard it is tryna find the right one
u;I done had others in my life but you're like none
v;I love yo whole style, physique, You're so sweet, petite type of girl I let
w;hold my jeep
x;My parking lot pimping, slow up tell them girls, hold up. Me and you, no luck
v;I got it girl? sho' nuff and I feel like I'm getting it bad
v;Cause I ain't felt like this since I was a lad
y;My whole mood, when I'm around you, change. I keep ya around new things
z;I pull up and your brow do raise. You're the shawty I was looking for
aa;One I had to push up on. Singled you out in ya crew, true and everything I do
aa;is for you
ab;The love you give me in bundles Is the same way I feel for you and everything
aa;I do is for you
ac;The love you give me in bundles Is the same way I feel for you, word

