Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;well do it live Fucking thing;w_iy_l d_uw ih_t l_ih_v f_ah_k_ih_ng th_ih_ng
i;1;well do it live Fuck it;w_iy_l d_uw ih_t l_ih_v f_ah_k ah_t
a;2;well do it live Don-t write it and well do it live;w_iy_l d_uw ih_t l_ih_v d_ow_n_t r_ay_t ah_t ah_n_d w_iy_l d_uw ih_t l_ay_v
b;4;sampled from Billy Stewart-s Sitting In The Park;s_ae_m_p_ah_l_d f_er_m b_ih_l_iy s_t_uw_er_t_s s_ih_t_ih_ng ih_n dh_ah p_aa_r_k
b;5;sitting In The Park;s_ih_t_ih_ng ih_n dh_ah p_aa_r_k
l;6;waiting For You;w_ey_t_ih_ng f_ao_r y_uw
b;8;growing up on the block;g_r_ow_ih_ng ah_p aa_n dh_iy b_l_aa_k
a;9;using green chalk to vandalize the sidewalk;y_uw_z_ih_ng g_r_iy_n ch_aa_k t_ah v_ae_n_d_ah_l_ay_z dh_iy s_ay_d_w_ao_k
b;10;playing hopscotch one rock;p_l_ey_ih_ng hh_aa_p_s_k_aa_ch hh_w_ah_n r_aa_k
b;11;elders walk by saying hello to your pops;eh_l_d_er_z w_ao_k b_ay s_ey_ih_ng hh_eh_l_ow t_ah y_uh_r p_aa_p_s
c;12;rocking low tops while theyre jogging in their Reeboks;r_aa_k_ih_ng l_ow t_aa_p_s hh_w_ay_l dh_ey_r jh_ah_g_ih_ng ih_n dh_eh_r r_iy_b_aa_k_s
d;13;knock knock its the kid at the walk way;n_aa_k n_aa_k ih_t_s dh_ah k_ih_d ae_t dh_ah w_ao_k w_ey
d;14;speaking bullshit I don-t care what the jock say;s_p_iy_k_ih_ng b_uh_l_sh_ih_t ay d_ow_n_t k_eh_r w_ah_t dh_ah jh_aa_k s_ey
d;15;fucked the girl good but she chooses to not say;f_ah_k_t dh_ah g_er_l g_uh_d b_ah_t sh_iy ch_uw_z_ah_z t_uw n_ax_t s_ey
b;16;sipping Tecate get ready to party;s_ih_p_ih_ng  g_eh_t r_eh_d_iy t_uw p_aa_r_t_iy
e;17;you know Mom surely raised me incredibly;y_uw n_ow m_aa_m sh_uh_r_l_iy r_ey_z_d m_iy ih_n_k_r_eh_d_ah_b_l_iy
e;18;she-s coming off heavily about using amphetamines;s_hh_iy_z k_ah_m_ih_ng ao_f hh_eh_v_ah_l_iy ah_b_aw_t y_uw_z_ih_ng ae_m_f_eh_t_ah_m_iy_n_z
m;19;people will do it but I won-t let it get to me;p_iy_p_ah_l w_ah_l d_uw ih_t b_ah_t ay w_ow_n_t l_eh_t ih_t g_eh_t t_uw m_iy
e;20;ill stick to fucking girls during school pep assemblies;ay_l s_t_ih_k t_uw f_ah_k_ih_ng g_er_l_z d_uh_r_ih_ng s_k_uw_l p_eh_p ah_s_eh_m_b_l_iy_z
a;21;she tries to prevent it but in matter of time;sh_iy t_r_ay_z t_uw p_r_ih_v_eh_n_t ih_t b_ah_t ih_n m_ae_t_er ah_v t_ay_m
a;22;smoking good weed sipping on corona and lime;s_m_ow_k_ih_ng g_uh_d w_iy_d s_ih_p_ih_ng aa_n k_er_ow_n_ah ah_n_d l_ay_m
a;23;kids act like being who you are (is) a crime;k_ih_d_z ae_k_t l_ay_k b_iy_ih_ng hh_uw y_uw aa_r ih_z ah k_r_ay_m
a;24;keep in mind Im a dime;k_iy_p ih_n m_ay_n_d ay_m ah d_ay_m
a;25;and Im on top of my grind;ah_n_d ay_m aa_n t_aa_p ah_v m_ay g_r_ay_n_d
f;27;do it all for the ol sport Gatsby;d_uw ih_t ao_l f_ao_r dh_ah ow_l s_p_ao_r_t g_ae_t_s_b_iy
n;28;catch me if you can;k_ae_ch m_iy ah_f y_uw k_ah_n
f;29;gingerbread man;jh_ih_n_jh_er_b_r_eh_d m_ae_n
g;30;if her boyfriend ask we did nothing;ah_f hh_er b_oy_f_r_eh_n_d ae_s_k w_iy d_ih_d n_ah_th_ih_ng
g;31;i just nutted;ay jh_ah_s_t n_ah_t_er_d
g;32;she push me to the edge but she don-t push my buttons;sh_iy p_uh_sh m_iy t_uw dh_ah eh_jh b_ah_t sh_iy d_ow_n_t p_uh_sh m_ay b_ah_t_ah_n_z
g;33;man this four in the morning kid (is) really something;m_ae_n dh_ih_s f_ao_r ih_n dh_ah m_ao_r_n_ih_ng k_ih_d ih_z r_ih_l_iy s_ah_m_th_ih_ng
g;34;hes gonna change the world and hell still be runnin;hh_iy_s g_aa_n_ah ch_ey_n_jh dh_ah w_er_l_d ah_n_d hh_iy_l s_t_ih_l b_iy r_ah_iy_n
o;35;forest Gumpin;f_ao_r_ah_s_t G_uw_m_p_ax_n
a;36;beard long (as) fuck hair still nice;b_ih_r_d l_ao_ng ae_z f_ah_k hh_eh_r s_t_ih_l n_ay_s
e;37;time (is) money tell me how youre spendin;t_ay_m ih_z m_ah_n_iy t_eh_l m_iy hh_aw y_uw_r s_p_eh_n_d_iy_n
p;38;adhd;ae_d_hh_d
m;39;pay me;p_ey m_iy
e;40;man I can barley pay attention;m_ae_n ay k_ah_n b_aa_r_l_iy p_ey ah_t_eh_n_sh_ah_n
e;41;i be benchin;ay b_iy b_eh_n_ch_iy_n
c;42;player and a coach Jackie Moon shit;p_l_ey_er ah_n_d ah k_ow_ch jh_ae_k_iy m_uw_n sh_iy_t
e;43;so wild so feral;s_ow w_ay_l_d s_ow f_eh_r_ah_l
f;44;this (is) gonna be a classic like a Christmas Carol;dh_ih_s ih_z g_aa_n_ah b_iy ah k_l_ae_s_ih_k l_ay_k ah k_r_ih_s_m_ah_s k_ae_r_ah_l
q;45;ebeneezer;eh_b_ah_n_iy_z_er
r;46;blasting Weezer;b_l_ae_s_t_ih_ng 
c;47;eat this pussy like its pork and beans;iy_t dh_ih_s p_uh_s_iy l_ay_k ih_t_s p_ao_r_k ah_n_d b_iy_n_z
c;48;and then she go down no hands like a soccer team;ah_n_d dh_eh_n sh_iy g_ow d_aw_n n_ow hh_ae_n_d_z l_ay_k ah s_aa_k_er t_iy_m
f;49;oh shit bro this bow tie kid can really rap;ow sh_iy_t b_r_ow dh_ih_s b_aw t_ay k_ih_d k_ah_n r_ih_l_iy r_ae_p
f;50;hes got these lines on tap;hh_iy_s g_aa_t dh_iy_z l_ay_n_z aa_n t_ae_p
n;51;food for thought no expiration;f_uw_d f_ao_r th_ao_t n_ow eh_k_s_p_er_ey_sh_ah_n
s;52;say it again broken record;s_ey ih_t ah_g_eh_n b_r_ow_k_ah_n r_eh_k_ao_d
h;53;and she-s on this wood like a woodpecker;ah_n_d s_hh_iy_z aa_n dh_ih_s w_uh_d l_ay_k ah w_uh_d_p_eh2_k_er
e;54;and she-s on the other team my girl-s a heckler;ah_n_d s_hh_iy_z aa_n dh_ah ah_dh_er t_iy_m m_ay g_er_l_z ah hh_eh_k_l_er
