Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;everybody has got one;eh_v_r_iy_b_aa_d_iy hh_ah_z g_aa_t w_ah_n
e;1;war its just begun;w_ao_r ih_t_s jh_ah_s_t b_ih_g_ah_n
a;2;lies are words within honesty;l_ay_z aa_r w_er_d_z w_ah_dh_ih_n aa_n_ah_s_t_iy
f;3;to keep controlled society;t_uw k_iy_p k_ah_n_t_r_ow_l_d s_ah_s_ay_ah_t_iy
b;4;no one wants to lose their ground;n_ow w_ah_n w_aa_n_t_s t_ah l_uw_z dh_eh_r g_r_aw_n_d
b;5;stay focused calm down;s_t_ey f_ow_k_ah_s_t k_aa_l_m d_aw_n
c;6;listen to your inner self;l_ih_s_ah_n t_ah y_uh_r ih_n_er s_eh_l_f
c;7;cause truth will be the better help;k_aa_z t_r_uw_th w_ih_l b_iy dh_iy b_eh_t_er hh_eh_l_p
d;9;your moment in the heart of the storm;y_uh_r m_ow_m_ah_n_t ih_n_ch dh_iy hh_aa_r_t ah_v dh_iy s_t_ao_r_m
d;10;hold the ones you love and don-t ever lose your warmth;hh_ow_l_d dh_iy w_ah_n_z y_uw l_ah_v ah_n_d d_ow_n eh_v_er l_uw_z y_uh_r w_ao_r_m_th
c;11;the sirens singing sweet melodies;dh_iy s_ay_r_ah_n_z s_ih_ng_ih_ng s_w_iy_t m_eh_l_ah_d_iy_z
f;12;the right path (is) not always the one that youll see;dh_iy r_ay_t p_ae_th ah_z n_ax_t ao_l_w_iy_z dh_iy hh_w_ah_n dh_ah_t y_uw_l s_iy
c;14;try to live without regrets;t_r_ay t_uw l_ay_v w_ih_th_aw_t r_ih_g_r_eh_t_s
g;15;give more than you get;g_ih_v m_ao_r dh_ae_n y_uw g_ih_t
a;16;free yourself right from the heart;f_r_iy y_ao_r_s_eh_l_f r_ay_t f_r_ah_m dh_ah hh_aa_r_t
a;17;and never let it fall apart;ah_n_d n_eh_v_er l_eh_t ih_t f_aa_l ah_p_aa_r_t
h;18;can-t you see its up to you;k_ae_n_t y_uw s_iy ih_t_s ah_p t_uw y_uw
h;19;why don-t you break through;w_ay d_ow_n_t y_uw b_r_ey_k th_r_uw
c;20;time has come to rise against;t_ay_m hh_ah_z k_ah_m t_uw r_ay_z ah_g_eh_n_s_t
e;21;its our world in our hands;ih_t_s aa_r w_er_l_d ih_n_ch aa_r hh_ae_n_d_z
c;23;don-t let go of your hopes no never again;d_ow_n l_eh_t g_ow ah_v y_uh_r hh_ow_p_s n_ow n_eh_v_er ah_g_eh_n
c;24;don-t you drift away from your dreams and everything;d_ow_n_t y_uw d_r_ih_f_t ah_w_ey f_r_ah_m y_ao_r d_r_iy_m_z ah_n_d eh_v_r_iy_th_ih_ng
