a;Twenty-one years of my life to go
b;Have I lost myself to someone else?
c;Truth, lie, to live or die
c;Makes no difference if you're never gonna fuckin' try

d;I know I'd die for you
e;Feed off my sorrow

d;I know I'd die for you
e;Bleed for tomorrow

f;Will you die for me?
f;But will you die for me?

g;See me standing, so fucking cool
g;Wish you would be like me - a fool
h;Truth, lie, to live or die
h;Makes no difference, you're never gonna fuckin' try

i;I know I'll die for you
j;Feed off my sorrow

i;I know I'll die for you
j;Bleed for tomorrow

i;I know I'll die for you
j;Feed off my sorrow

i;I know I'll die for you
i;Can you feel it, can you see it, do you want me to

k;Will you die for me?
k;But will you die for me?

l;I want you to...
l;I want you to...
l;I want you to...
m;I want you...

